Year,State,Number of Cases
1854,Maryland,1
1865,Kentucky,1
1880,Florida,1
1890,Arkansas,1
1906,Alabama,1
1913,Kansas,1
1922,New York,1
1931,Illinois,1
1934,Colorado,1
1940,Washington,1
1944,Alabama,1
1946,Kentucky,1
1947,California,1
1947,Maryland,1
1948,Louisiana,1
1949,New York,1
1950,Iowa,1
1951,New Jersey,1
1951,New Mexico,1
1952,California,1
1952,Illinois,1
1953,Connecticut,2
1955,Alaska,1
1955,Florida,1
1956,Florida,2
1956,Washington,1
1957,Massachusetts,1
1957,Texas,1
1959,Idaho,1
1959,Missouri,1
1960,Arkansas,1
1962,California,1
1962,Florida,1
1962,Louisiana,1
1962,Maryland,1
1963,Connecticut,1
1963,Delaware,1
1963,Florida,2
1963,Louisiana,1
1963,New Jersey,1
1964,Colorado,1
1964,New York,1
1965,Arizona,1
1965,Florida,1
1966,Kentucky,1
1967,Alabama,2
1968,Arizona,1
1968,Arkansas,1
1968,California,2
1968,Tennessee,1
1969,Alabama,2
1969,Florida,1
1969,Maryland,1
1970,Georgia,2
1970,Louisiana,1
1970,Oklahoma,1
1971,Alabama,3
1971,Georgia,1
1971,Idaho,1
1971,Indiana,1
1971,Louisiana,1
1971,New Jersey,1
1972,Arizona,1
1972,California,1
1972,Connecticut,1
1972,Florida,3
1973,Alabama,2
1973,California,3
1973,Louisiana,2
1973,New Hampshire,1
1973,New York,5
1973,Texas,1
1973,Washington,1
1974,Alabama,1
1974,California,2
1974,Florida,1
1974,Hawaii,1
1974,New York,1
1975,Alabama,1
1975,California,2
1975,Georgia,4
1975,Illinois,1
1975,New York,1
1975,Virginia,1
1976,California,2
1976,Louisiana,1
1976,Michigan,2
1976,New York,1
1976,Ohio,1
1977,Alabama,1
1977,Colorado,1
1977,Delaware,1
1977,Indiana,1
1977,Iowa,1
1977,Louisiana,2
1978,Georgia,1
1978,Louisiana,1
1978,Massachusetts,1
1978,Missouri,1
1978,New York,1
1978,Ohio,1
1979,Connecticut,1
1979,Delaware,1
1979,New York,2
1980,Connecticut,1
1980,Louisiana,1
1980,Michigan,1
1981,Alabama,1
1981,Arizona,1
1981,California,2
1981,Colorado,1
1981,Connecticut,1
1981,Illinois,1
1981,Indiana,1
1981,Iowa,1
1981,Michigan,1
1981,Minnesota,1
1981,New Jersey,1
1981,New York,2
1981,Oregon,1
1982,Alabama,3
1982,Alaska,1
1982,Arkansas,1
1982,Connecticut,1
1982,Delaware,1
1982,Florida,1
1982,Georgia,1
1982,Illinois,3
1982,Kentucky,1
1982,Michigan,1
1982,New Jersey,1
1982,New York,1
1983,Alabama,2
1983,Alaska,1
1983,Arkansas,1
1983,California,1
1983,Connecticut,1
1983,Florida,2
1983,Illinois,1
1983,Indiana,1
1983,Kansas,1
1983,Massachusetts,1
1983,Washington,1
1984,Arizona,1
1984,California,3
1984,Colorado,1
1984,Illinois,1
1984,Indiana,1
1984,Kansas,1
1985,Alabama,1
1985,Arizona,1
1985,Arkansas,1
1985,California,2
1985,Florida,2
1985,Illinois,1
1985,Iowa,1
1985,Kentucky,1
1985,Louisiana,1
1985,New York,4
1985,Rhode Island,1
1986,Alabama,1
1986,California,2
1986,Florida,1
1986,Illinois,4
1986,Louisiana,4
1986,Maryland,1
1986,Michigan,2
1986,Texas,3
1986,Washington,1
1986,Wisconsin,1
1987,Alabama,1
1987,Arkansas,1
1987,California,2
1987,Connecticut,1
1987,Delaware,2
1987,Florida,1
1987,Georgia,1
1987,Indiana,1
1987,Louisiana,1
1987,Massachusetts,1
1987,Michigan,3
1987,Mississippi,2
1987,Ohio,1
1987,Texas,2
1987,Washington,1
1988,Alaska,1
1988,Arizona,2
1988,California,3
1988,Connecticut,1
1988,Florida,1
1988,Illinois,2
1988,Indiana,2
1988,Iowa,1
1988,Kentucky,1
1988,Louisiana,1
1988,Maryland,2
1988,Michigan,2
1988,Mississippi,4
